# skill-shopify entry index — grep this before reading a module
# id	file	title	topic	tags
sh-001	lore/25-shopify-theme-design.jsonl	Shopify Theme Design Principles — Merchant Experience	shopify-theme-design-principles-merchant	shopify,theme,design-principles,merchant,sections,blocks,atomic-design
sh-002	lore/25-shopify-theme-design.jsonl	Shopify Theme Design Principles — Customer Experience	shopify-theme-design-principles-customer	shopify,theme,design-principles,customer,accessibility,navigation,checkout
sh-003	lore/25-shopify-theme-design.jsonl	Shopify Subscription UX — Product Form Components	shopify-subscription-product-form	shopify,subscriptions,selling-plan,product-form,price,figma
sh-004	lore/25-shopify-theme-design.jsonl	Shopify Subscription UX — Selling Plan Selection & Options	shopify-subscription-selling-plan-selection	shopify,subscriptions,selling-plan,selection,radio,options,variants
sh-005	lore/25-shopify-theme-design.jsonl	Shopify Subscription UX — Details, Cart, Orders & Multi-Currency	shopify-subscription-details-cart-currency	shopify,subscriptions,selling-plan,cart,currency,orders,policy
sh-006	lore/25-shopify-theme-design.jsonl	Shopify Pre-order & TBYB UX — Product Form Components	shopify-preorder-tbyb-product-form	shopify,preorder,tbyb,try-before-you-buy,selling-plan,product-form,deposit
sh-007	lore/25-shopify-theme-design.jsonl	Shopify Pre-order & TBYB UX — Cart, Orders & Naming	shopify-preorder-tbyb-cart-orders	shopify,preorder,tbyb,cart,orders,naming,checkout-charge,currency
sh-008	lore/26-shopify-theme-architecture.jsonl	Shopify Theme Architecture — Directory Structure & Hierarchy	shopify-theme-directory-structure	shopify,architecture,directory,structure,hierarchy,liquid
sh-009	lore/26-shopify-theme-architecture.jsonl	Shopify Theme Layouts — Base Templates & Required Objects	shopify-layouts	shopify,layout,theme-liquid,header,footer,structure
sh-010	lore/26-shopify-theme-architecture.jsonl	Shopify Theme Templates — Types, JSON vs Liquid & Naming	shopify-templates	shopify,templates,json,liquid,naming,page-types
sh-011	lore/26-shopify-theme-architecture.jsonl	Shopify Sections — Reusable Content Modules, Schema & Rendering	shopify-sections	shopify,sections,schema,presets,blocks,rendering
sh-012	lore/26-shopify-theme-architecture.jsonl	Shopify Blocks — Theme Blocks, Section Blocks, App Blocks & Nesting	shopify-blocks	shopify,blocks,theme-blocks,section-blocks,app-blocks,nesting,snippets
sh-013	lore/27-shopify-best-practices.jsonl	Shopify Theme Performance — JavaScript, Assets, Liquid & Testing	shopify-performance-best-practices	shopify,performance,javascript,lighthouse,cdn,lazy-load,responsive-images
sh-014	lore/27-shopify-best-practices.jsonl	Shopify Theme Accessibility — WCAG, Keyboard, Colour, Media & Components	shopify-accessibility-best-practices	shopify,accessibility,wcag,keyboard,contrast,aria,focus,touch-targets
sh-015	lore/27-shopify-best-practices.jsonl	Shopify Sections & Blocks Best Practices — Modularity, Settings & Metafields	shopify-sections-blocks-best-practices	shopify,sections,blocks,best-practices,metafields,settings,modularity
sh-016	lore/28-shopify-pricing-payments.jsonl	Shopify Discounts — Display Patterns, Line Items & Cart Level	shopify-discounts-display	shopify,discounts,pricing,strikethrough,cart,line-item
