# skill-psychology entry index — grep this before reading a module
# id	file	title	topic	tags
dp-001	lore/22-deep-ux-psychology.jsonl	Russian Activity Theory — From Perception to Purposeful Action	activity-theory-overview	activity-theory,russian-psychology,vygotsky,leontiev,tool-mediation,deep-ux
dp-002	lore/22-deep-ux-psychology.jsonl	Vygotsky's Zone of Proximal Development — Designing Scaffolding That Disappears	vygotsky-zpd	vygotsky,zpd,scaffolding,onboarding,learning,progressive-disclosure,deep-ux
dp-003	lore/22-deep-ux-psychology.jsonl	Leontiev's Activity Hierarchy — Motive, Goal, and the Invisible Click	leontiev-hierarchy	leontiev,activity-hierarchy,motive,goal,operation,deep-ux
dp-004	lore/22-deep-ux-psychology.jsonl	Luria's Functional Systems — The Brain as Collaborative Architecture	luria-functional-systems	luria,functional-systems,accessibility,distributed-cognition,system-design,deep-ux
dp-005	lore/22-deep-ux-psychology.jsonl	Bakhtin's Dialogism — The Interface as Living Conversation	bakhtin-dialogism	bakhtin,dialogism,polyphony,conversation,ux-writing,chatbot,deep-ux
dp-006	lore/22-deep-ux-psychology.jsonl	Engeström's Expansive Learning — Designing for Contradictions	engestrom-expansive	engestrom,activity-system,contradictions,expansive-learning,enterprise-ux,organisational,deep-ux
dp-007	lore/22-deep-ux-psychology.jsonl	Jung's Archetypes — The Unconscious Patterns Behind Brand and Product Identity	jung-archetypes	jung,archetypes,brand,personality,collective-unconscious,identity,deep-ux
dp-008	lore/22-deep-ux-psychology.jsonl	Jung's Shadow and Persona — Designing for What Users Won't Admit	jung-shadow-persona	jung,shadow,persona,ethics,dark-patterns,unconscious,self-reported-data,deep-ux
dp-009	lore/22-deep-ux-psychology.jsonl	Jung's Collective Unconscious — Why Some Symbols Need No Explanation	jung-collective-unconscious	jung,collective-unconscious,symbols,icons,metaphor,universal,skeuomorphism,deep-ux
dp-010	lore/22-deep-ux-psychology.jsonl	Husserl's Intentionality — Consciousness Is Always Consciousness OF Something	husserl-intentionality	husserl,intentionality,phenomenology,bracketing,lifeworld,observation,deep-ux
dp-011	lore/22-deep-ux-psychology.jsonl	Heidegger's Ready-to-Hand — The Invisible Interface Is the Perfect Interface	heidegger-readiness	heidegger,ready-to-hand,present-at-hand,invisibility,phenomenology,flow,deep-ux
dp-012	lore/22-deep-ux-psychology.jsonl	Merleau-Ponty's Embodied Cognition — The Body Knows Before the Mind	merleau-ponty-embodiment	merleau-ponty,embodiment,body-schema,perception,gestures,haptics,deep-ux
dp-013	lore/22-deep-ux-psychology.jsonl	Don Ihde's Four Human-Technology Relations — How We Bond with Interfaces	ihde-technology-relations	ihde,technology-relations,embodiment,hermeneutic,alterity,background,philosophy-of-technology,deep-ux
dp-014	lore/22-deep-ux-psychology.jsonl	Peirce's Semiotics — Icon, Index, Symbol: The Three Lives of a Sign	peirce-semiotics	peirce,semiotics,icon,index,symbol,signs,interpretation,deep-ux
dp-015	lore/22-deep-ux-psychology.jsonl	Saussure and Barthes — Arbitrary Signs, Myths, and Hidden Meanings in UI	saussure-barthes-semiotics	saussure,barthes,semiotics,signifier,signified,mythology,connotation,denotation,deep-ux
dp-016	lore/22-deep-ux-psychology.jsonl	Freud's Drives and Defence Mechanisms — The Unconscious Logic of User Behaviour	freud-drives-defence	freud,id-ego-superego,pleasure-principle,defence-mechanisms,unconscious,drives,deep-ux
dp-017	lore/22-deep-ux-psychology.jsonl	Lacan's Mirror Stage and Desire — Identity, Social Media, and the Gaze	lacan-mirror-desire	lacan,mirror-stage,desire,gaze,social-media,identity,méconnaissance,deep-ux
dp-018	lore/22-deep-ux-psychology.jsonl	Winnicott's Transitional Objects — Why People Bond with Digital Products	winnicott-transitional	winnicott,transitional-object,potential-space,play,attachment,good-enough,deep-ux
dp-019	lore/22-deep-ux-psychology.jsonl	Gibson's Affordances — What the Environment Offers, Not What the Designer Intends	gibson-affordances	gibson,affordances,ecological-psychology,perception,signifiers,emergent-behaviour,deep-ux
dp-020	lore/22-deep-ux-psychology.jsonl	Csikszentmihalyi's Flow — The Psychology of Optimal Experience	csikszentmihalyi-flow	csikszentmihalyi,flow,optimal-experience,engagement,challenge-skill,intrinsic-motivation,deep-ux
dp-021	lore/22-deep-ux-psychology.jsonl	Deci & Ryan's Self-Determination Theory — Autonomy, Competence, Relatedness	deci-ryan-sdt	self-determination,autonomy,competence,relatedness,intrinsic-motivation,gamification,deep-ux
dp-022	lore/22-deep-ux-psychology.jsonl	Maslow's Hierarchy Applied to Digital Products	maslow-digital	maslow,hierarchy,needs,product-design,trust,delight,meaning,deep-ux
dp-023	lore/22-deep-ux-psychology.jsonl	Sartre and Kierkegaard — The Anxiety of Choice in Interface Design	sartre-kierkegaard-anxiety	sartre,kierkegaard,anxiety,freedom,choice,blank-canvas,defaults,templates,deep-ux
dp-024	lore/22-deep-ux-psychology.jsonl	Campbell's Hero's Journey — Onboarding as Mythic Transformation	campbell-heros-journey	campbell,heros-journey,monomyth,onboarding,narrative,aha-moment,transformation,deep-ux
dp-025	lore/22-deep-ux-psychology.jsonl	Bateson's Ecology of Mind — Double Binds and System Thinking in UX	bateson-ecology	bateson,ecology-of-mind,double-bind,systems-thinking,cybernetics,contradiction,deep-ux
dp-026	lore/22-deep-ux-psychology.jsonl	Propp's Morphology — Narrative Functions in Product Flows	propp-narrative-structures	propp,narrative,morphology,fairy-tale,story-structure,user-journey,deep-ux
dp-027	lore/22-deep-ux-psychology.jsonl	Theory-Led UX Audit — Combining Multiple Psychological Lenses	theory-led-audit	theory-led-audit,framework,multi-lens,analysis,methodology,deep-ux
dp-028	lore/22-deep-ux-psychology.jsonl	Heidegger's Care Structure — Design as an Act of Concern	design-as-care	heidegger,care,sorge,thrownness,projection,existence,ethical-design,deep-ux
dp-029	lore/22-deep-ux-psychology.jsonl	Lefebvre's Reflexive Control — Making Users 'Choose' What You Designed	lefebvre-reflexive-control	lefebvre,reflexive-control,soviet-psychology,manipulation,persuasion,choice-architecture,ethics,deep-ux
dp-030	lore/22-deep-ux-psychology.jsonl	Pavlov's Conditioning — The Reflex Architecture of Digital Habits	pavlov-conditioning	pavlov,conditioning,skinner,variable-reward,habit,notification,reflex,dopamine,deep-ux
dp-031	lore/22-deep-ux-psychology.jsonl	Bernays and the Engineering of Consent — Irrational Desire as UX Foundation	bernays-engineering-consent	bernays,propaganda,public-relations,desire,identity,social-proof,third-party,ethics,deep-ux
dp-032	lore/22-deep-ux-psychology.jsonl	Lasswell's Communication Model — Controlling the Narrative in UX	lasswell-communication	lasswell,communication,propaganda,narrative,content-strategy,framing,channel,deep-ux
dp-033	lore/22-deep-ux-psychology.jsonl	Cialdini's Six Principles of Influence — The Complete UX Persuasion Toolkit	cialdini-influence	cialdini,influence,reciprocity,social-proof,scarcity,authority,persuasion,ethics,deep-ux
dp-034	lore/22-deep-ux-psychology.jsonl	Sun Tzu and Strategic Misdirection — Visual Hierarchy as Battlefield	sun-tzu-misdirection	sun-tzu,misdirection,visual-hierarchy,dark-patterns,deception,attention,ethics,deep-ux
dp-035	lore/22-deep-ux-psychology.jsonl	The Persuasion Ethics Spectrum — From Care to Coercion	persuasion-ethics-spectrum	ethics,persuasion,spectrum,nudge,coercion,reflexive-control,dark-patterns,transparency,deep-ux
dp-036	lore/22-deep-ux-psychology.jsonl	Expanded Theory-Led Audit — Adding Persuasion and Power Analysis	theory-led-audit-expanded	theory-led-audit,persuasion,ethics,power,conditioning,narrative,expanded-framework,deep-ux
