# Design Lore entry index (all skills) — regenerate with `python3 lore.py index`
# id	prefix	skill	file	title	topic	tags
ax-001	ax	ai-ux	skill-ai-ux/lore/44-ai-interaction-design.jsonl	Agentic Experience Design — What Changes When the System Is Probabilistic	agentic-experience-design	ai,agentic,interaction-design,fundamentals
ax-002	ax	ai-ux	skill-ai-ux/lore/44-ai-interaction-design.jsonl	Mixed-Initiative Flow — Who Leads and How Control Transfers	mixed-initiative	ai,mixed-initiative,control,interaction-design,agentic
ax-003	ax	ai-ux	skill-ai-ux/lore/44-ai-interaction-design.jsonl	Capability Discoverability — Solving the Blank Box Problem	capability-discoverability	ai,discoverability,progressive-disclosure,onboarding,mental-models
ax-004	ax	ai-ux	skill-ai-ux/lore/44-ai-interaction-design.jsonl	Designing the Wait — Latency as a First-Class State	latency-and-waiting	ai,latency,loading,streaming,perceived-performance
ax-005	ax	ai-ux	skill-ai-ux/lore/44-ai-interaction-design.jsonl	Correction Loops — Designing for Being Wrong	correction-and-feedback	ai,feedback,correction,editability,metrics
ax-006	ax	ai-ux	skill-ai-ux/lore/44-ai-interaction-design.jsonl	Generative UI — Designing Rules Instead of Screens	generative-ui	ai,generative-ui,components,design-system,constraints
ax-007	ax	ai-ux	skill-ai-ux/lore/44-ai-interaction-design.jsonl	Context Design — What the System Knows and What the User Thinks It Knows	context-window-design	ai,context,memory,privacy,transparency
ax-008	ax	ai-ux	skill-ai-ux/lore/44-ai-interaction-design.jsonl	Frustration Detection and Conversational Repair	frustration-and-repair	ai,frustration,repair,conversation,error-recovery
at-001	at	ai-ux	skill-ai-ux/lore/45-ai-trust-alignment.jsonl	Trust Calibration — Neither Overtrust Nor Undertrust	trust-calibration	ai,trust,calibration,confidence,sycophancy
at-002	at	ai-ux	skill-ai-ux/lore/45-ai-trust-alignment.jsonl	The Trust Calibration Matrix — Language by Stakes and Confidence	trust-matrix	ai,trust,confidence,copy,ux-writing,rubric
at-003	at	ai-ux	skill-ai-ux/lore/45-ai-trust-alignment.jsonl	Transparency Patterns — Showing the Work	transparency-patterns	ai,transparency,citations,sources,tool-use,agentic
at-004	at	ai-ux	skill-ai-ux/lore/45-ai-trust-alignment.jsonl	Guardrail and Refusal Design	guardrails-and-refusal	ai,guardrails,refusal,policy,error-messages
at-005	at	ai-ux	skill-ai-ux/lore/45-ai-trust-alignment.jsonl	Consent and Agency — Keeping the Human in Charge	consent-and-agency	ai,consent,agency,privacy,autonomy,ethics
at-006	at	ai-ux	skill-ai-ux/lore/45-ai-trust-alignment.jsonl	Harm Anticipation — Finding the Failure Modes Before Launch	harm-anticipation	ai,harm,risk,safety,ethics,evaluation
at-007	at	ai-ux	skill-ai-ux/lore/45-ai-trust-alignment.jsonl	Escalation Design — Knowing When to Hand Off	escalation-design	ai,escalation,handoff,support,human-in-the-loop
at-008	at	ai-ux	skill-ai-ux/lore/45-ai-trust-alignment.jsonl	Bias in AI Interfaces — What Design Can Actually Address	bias-and-fairness	ai,bias,fairness,inclusive-design,forms,ethics
ab-001	ab	ai-ux	skill-ai-ux/lore/46-ai-behaviour-evaluation.jsonl	Persona Architecture — Designing How the System Shows Up	persona-architecture	ai,persona,voice,tone,behaviour
ab-002	ab	ai-ux	skill-ai-ux/lore/46-ai-behaviour-evaluation.jsonl	Tone Calibration — Matching the Moment	tone-calibration	ai,tone,voice,ux-writing,localisation
