# skill-design entry index — grep this before reading a module
# id	file	title	topic	tags
ds-001	lore/02-design-system.jsonl	Three-Layer Token Model Overview	token-architecture	tokens,architecture,primitives,semantics,components
ds-002	lore/02-design-system.jsonl	Primitive Tokens	token-architecture	tokens,primitives,raw-values
ds-003	lore/02-design-system.jsonl	Semantic Tokens	token-architecture	tokens,semantics,aliases,theming
ds-004	lore/02-design-system.jsonl	Component Tokens	token-architecture	tokens,components,application-specific
ds-005	lore/02-design-system.jsonl	Token Layer Rules	token-architecture	tokens,rules,best-practices
ds-006	lore/02-design-system.jsonl	Variable Types in Figma	variables	variables,types,color,number,string,boolean
ds-007	lore/02-design-system.jsonl	Variable Alias Mechanism	variables	variables,aliases,referencing,token-layering
ds-008	lore/02-design-system.jsonl	Variable Collections	variables	variables,collections,organization
ds-009	lore/02-design-system.jsonl	Variable Modes	variables	variables,modes,theming,responsive
ds-010	lore/02-design-system.jsonl	Applying and Inheriting Modes	variables	variables,modes,inheritance,frames
ds-011	lore/02-design-system.jsonl	Light/Dark Mode Setup Steps	theming	theming,light-mode,dark-mode,setup
ds-012	lore/02-design-system.jsonl	Light/Dark Mode Design Rules	theming	theming,dark-mode,contrast,accessibility
ds-013	lore/02-design-system.jsonl	Multi-Brand System Setup	theming	theming,multi-brand,white-label
ds-014	lore/02-design-system.jsonl	When to Use Styles vs Variables	styles-vs-variables	styles,variables,decision,comparison
ds-015	lore/02-design-system.jsonl	Color Styles	color	styles,color,fills,gradients
ds-016	lore/02-design-system.jsonl	Text Styles	typography	styles,typography,text,font
ds-017	lore/02-design-system.jsonl	Typography Line Height and Spacing	typography	typography,line-height,letter-spacing,paragraph
ds-018	lore/02-design-system.jsonl	Effect Styles — Shadows and Elevation	effects	styles,effects,shadows,elevation
ds-019	lore/02-design-system.jsonl	Elevation Scale Design	effects	elevation,shadows,z-index,depth
ds-020	lore/02-design-system.jsonl	Grid Styles and Breakpoints	grids	styles,grids,layout,responsive,columns
ds-021	lore/02-design-system.jsonl	Variable Scoping	variables	variables,scoping,properties,organization
ds-022	lore/02-design-system.jsonl	Variable Scoping Best Practices	variables	variables,scoping,best-practices
ds-023	lore/02-design-system.jsonl	Token Naming Conventions	naming	naming,conventions,tokens,organization
ds-024	lore/02-design-system.jsonl	Naming Rules and Anti-Patterns	naming	naming,rules,anti-patterns
ds-025	lore/02-design-system.jsonl	Library Publishing Workflow	library	library,publishing,updates,sharing
ds-026	lore/02-design-system.jsonl	Library Organization and Structure	library	library,organization,files,structure
ds-027	lore/02-design-system.jsonl	Design System Governance Model	governance	governance,ownership,process,contribution
ds-028	lore/02-design-system.jsonl	Design System Auditing	governance	governance,audit,quality,consistency
ds-029	lore/02-design-system.jsonl	Spacing Scale System	spacing	spacing,scale,variables,layout
ds-030	lore/02-design-system.jsonl	Spacing Application Patterns	spacing	spacing,padding,gap,auto-layout
ds-031	lore/02-design-system.jsonl	Color Palette Structure	color	color,palette,primitives,shades
ds-032	lore/02-design-system.jsonl	Semantic Color Mapping	color	color,semantic,mapping,theming
ds-033	lore/02-design-system.jsonl	Component Token Examples	components	tokens,components,button,input,card
ds-034	lore/02-design-system.jsonl	Theme Switching Implementation	theming	theming,modes,switching,frames
ds-035	lore/02-design-system.jsonl	Typography Variable Strategy	typography	typography,variables,styles,hybrid
ds-036	lore/02-design-system.jsonl	Creating Variables in Figma	variables	variables,creation,workflow,figma-ui
ds-037	lore/02-design-system.jsonl	Variable Groups via Slash Naming	variables	variables,groups,naming,organization
ds-038	lore/02-design-system.jsonl	Color Contrast Requirements	accessibility	accessibility,contrast,wcag,a11y
ds-039	lore/02-design-system.jsonl	Border Radius Scale	border-radius	border-radius,radius,scale,variables
ds-040	lore/02-design-system.jsonl	Icon and Touch Target Sizing	sizing	sizing,icons,touch-targets,accessibility
ds-041	lore/02-design-system.jsonl	Opacity Scale	opacity	opacity,transparency,variables
ds-042	lore/02-design-system.jsonl	Library Versioning and Updates	library	library,versioning,changelog,updates
ds-043	lore/02-design-system.jsonl	Density Modes (Compact/Comfortable)	theming	theming,density,compact,comfortable,modes
ds-044	lore/02-design-system.jsonl	Boolean Variables for Component Configuration	variables	variables,boolean,visibility,feature-flags
ds-045	lore/02-design-system.jsonl	Design System Maturity Checklist	design-system	maturity,checklist,completeness,audit
